Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,
01-01-2021,Airport,Arrival,341,0,9,350,
01-01-2021,Airport,Departure,803,17,28,848,
01-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0,
01-01-2021,Express Rail Link West Kowloon,Departure,0,0,0,0,
01-01-2021,Hung Hom,Arrival,0,0,0,0,
01-01-2021,Hung Hom,Departure,0,0,0,0,
01-01-2021,Lo Wu,Arrival,0,0,0,0,
01-01-2021,Lo Wu,Departure,0,0,0,0,
01-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0,
01-01-2021,Lok Ma Chau Spur Line,Departure,0,0,0,0,
01-01-2021,Heung Yuen Wai,Arrival,0,0,0,0,
01-01-2021,Heung Yuen Wai,Departure,0,0,0,0,
01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,45,2,0,47,
01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Departure,210,7,0,217,
01-01-2021,Lok Ma Chau,Arrival,0,0,0,0,
01-01-2021,Lok Ma Chau,Departure,0,0,0,0,
01-01-2021,Man Kam To,Arrival,0,0,0,0,
01-01-2021,Man Kam To,Departure,0,0,0,0,
01-01-2021,Sha Tau Kok,Arrival,0,0,0,0,
01-01-2021,Sha Tau Kok,Departure,0,0,0,0,
01-01-2021,Shenzhen Bay,Arrival,346,43,1,390,
01-01-2021,Shenzhen Bay,Departure,2433,221,4,2658,
01-01-2021,China Ferry Terminal,Arrival,0,0,0,0,
01-01-2021,China Ferry Terminal,Departure,0,0,0,0,
01-01-2021,Harbour Control,Arrival,0,0,0,0,
01-01-2021,Harbour Control,Departure,0,0,0,0,
01-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0,
01-01-2021,Kai Tak Cruise Terminal,Departure,0,0,0,0,
01-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0,
01-01-2021,Macau Ferry Terminal,Departure,0,0,0,0,
01-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0,
01-01-2021,Tuen Mun Ferry Terminal,Departure,0,0,0,0,
02-01-2021,Airport,Arrival,363,10,10,383,
02-01-2021,Airport,Departure,940,22,33,995,
02-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0,
02-01-2021,Express Rail Link West Kowloon,Departure,0,0,0,0,
02-01-2021,Hung Hom,Arrival,0,0,0,0,
02-01-2021,Hung Hom,Departure,0,0,0,0,
02-01-2021,Lo Wu,Arrival,0,0,0,0,
02-01-2021,Lo Wu,Departure,0,0,0,0,
02-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0,
02-01-2021,Lok Ma Chau Spur Line,Departure,0,0,0,0,
02-01-2021,Heung Yuen Wai,Arrival,0,0,0,0,
02-01-2021,Heung Yuen Wai,Departure,0,0,0,0,
02-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,37,1,0,38,
02-01-2021,Hong Kong-Zhuhai-Macao Bridge,Departure,228,10,0,238,
02-01-2021,Lok Ma Chau,Arrival,0,0,0,0,
02-01-2021,Lok Ma Chau,Departure,0,0,0,0,
02-01-2021,Man Kam To,Arrival,0,0,0,0,
02-01-2021,Man Kam To,Departure,0,0,0,0,
02-01-2021,Sha Tau Kok,Arrival,0,0,0,0,
02-01-2021,Sha Tau Kok,Departure,0,0,0,0,
02-01-2021,Shenzhen Bay,Arrival,542,67,2,611,
02-01-2021,Shenzhen Bay,Departure,2735,251,2,2988,
02-01-2021,China Ferry Terminal,Arrival,0,0,0,0,
02-01-2021,China Ferry Terminal,Departure,0,0,0,0,
02-01-2021,Harbour Control,Arrival,0,0,0,0,
02-01-2021,Harbour Control,Departure,0,0,0,0,
02-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0,
02-01-2021,Kai Tak Cruise Terminal,Departure,0,0,0,0,
02-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0,
02-01-2021,Macau Ferry Terminal,Departure,0,0,0,0,
02-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0,
02-01-2021,Tuen Mun Ferry Terminal,Departure,0,0,0,0,
03-01-2021,Airport,Arrival,880,4,36,920,
03-01-2021,Airport,Departure,1146,31,44,1221,
03-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0,
03-01-2021,Express Rail Link West Kowloon,Departure,0,0,0,0,
03-01-2021,Hung Hom,Arrival,0,0,0,0,
03-01-2021,Hung Hom,Departure,0,0,0,0,
03-01-2021,Lo Wu,Arrival,0,0,0,0,
